X,Y,OBJECTID,DD_MM_YYY,TIME,LOCATION,DEPTH,MAG,EVALMODE,TYPE,MAG_100,GM_CODE,GM_NAAM,WATER,OAD,STED,BEV_DICHTH
718010.715927519951947,6976156.853032669983804,56,12-10-2005 0:00:00,12:43,Smilde,3,2.500000000000000,manual,ind,250,GM1731,Midden-Drenthe,NEE,397,5,98
746619.825089819962159,7047816.203986690379679,57,8-8-2006 0:00:00,9:07,Westeremden,3,2.500000000000000,manual,ind,250,GM0024,Loppersum,NEE,208,5,89
734152.04210832004901,6973200.366547210142016,58,2-4-2008 0:00:00,4:33,Ekehaar,3,2.500000000000000,manual,ind,250,GM1680,Aa en Hunze,NEE,279,5,92
766100.735997479991056,7048002.68996031023562,59,10-7-2008 0:00:00,21:36,Holwierde,3,2.500000000000000,manual,ind,250,GM0010,Delfzijl,NEE,680,4,188
736601.070908889989369,7074341.129916739650071,60,7-5-2010 0:00:00,18:43,Waddenzee (nabij Usquert),3,2.500000000000000,manual,ind,250,GM1651,Eemsmond,JA,-99999999,-99999999,-99999999
746174.547126270015724,7057892.713288639672101,61,14-8-2010 0:00:00,6:00,Uithuizen,3,2.500000000000000,manual,ind,250,GM1651,Eemsmond,NEE,359,5,83
744393.435271900030784,7065551.940810720436275,62,31-8-2011 0:00:00,3:50,Uithuizen,3,2.500000000000000,manual,ind,250,GM1651,Eemsmond,NEE,359,5,83
757529.135198110016063,7045578.713410380296409,63,6-9-2011 0:00:00,23:31,Leermens,3,2.500000000000000,manual,ind,250,GM0024,Loppersum,NEE,208,5,89
510733.823863669997081,6900373.114534740336239,64,22-10-2013 0:00:00,6:43,Noordzee (nabij Castricum),3,2.500000000000000,manual,ind,250,GM0383,Castricum,JA,-99999999,-99999999,-99999999
741053.850544780027121,7049494.735274059697986,65,5-12-1991 0:00:00,0:00,Middelstum,3,2.400000000000000,manual,ind,240,GM0024,Loppersum,NEE,208,5,89
784357.132504979963414,6952535.515735129825771,66,16-1-1997 0:00:00,9:21,Roswinkel,2,2.400000000000000,manual,ind,240,GM0114,Emmen,NEE,846,4,321
